repo,path,lines,bytes,families,score,fam_detail,in_base,near_base,sha,reviewed
legal-knowledge-base,legal-knowledge-base/00-MANIFEST-sila-v-grazhdanine.md,1168,170821,3,323,META=1;RULE=21;STRUCT=1,,,a16d882c7fda,
character-a-analysis,character-a-analysis/10-life-history/02-notes/mentor-part-1.md,1381,178137,3,323,META=1;RETRO=1;RULE=21,,,41ed84305a52,
portrait-of-taste,portrait-of-taste/reports/situations/SITUATIONS_REPORT.md,391,28490,3,323,META=2;REGISTRY=2;RULE=19,,,cd30b82a5d84,
self-map,self-map/10-life-history/02-notes/mentor-part-1.md,1381,178137,3,323,META=1;RETRO=1;RULE=21,,,41ed84305a52,
dota-dossier,dota-dossier/reports/infrastructure/deploy_bugs_anatomy.md,212,17495,3,322,REGISTRY=4;RULE=4;STRUCT=14,yes,,64132447adff,
portrait-of-taste,portrait-of-taste/build/push_archives.sh,695,60718,3,321,META=1;REGISTRY=9;RULE=11,yes,,3259d83fce6a,
portrait-of-taste,portrait-of-taste/templates/_archive/push_archives.sh,695,60718,3,321,META=1;REGISTRY=9;RULE=11,yes,,3259d83fce6a,
personal-finance-dss,personal-finance-dss/docs/reports/adr/adr_017_iis_deduction_estimate.md,114,10908,3,320,REGISTRY=16;RULE=3;STRUCT=1,,,a6b79975de61,
legal-knowledge-base,legal-knowledge-base/00-infrastructure/reports/pitfalls.md,205,18395,3,320,META=9;RULE=1;STRUCT=10,,,9af8a9158162,
health-vault,health-vault/CHANGELOG.md,949,72198,3,319,REGISTRY=3;RULE=14;STRUCT=2,,,b5357dd15115,
character-a-analysis,character-a-analysis/WATCHLOG.md,203,22004,3,319,REGISTRY=17;RULE=1;STRUCT=1,,,387bbdf33997,
personal-finance-dss,personal-finance-dss/docs/reports/incidents/consent_gate_no_ui_dead_end_incident.md,186,22010,3,319,POSTMOR=8;RETRO=2;RULE=9,,,e9c5ac734e34,
portrait-of-taste,portrait-of-taste/ROADMAP.md,553,34895,3,317,RETRO=1;RULE=14;STRUCT=2,,,57185cd5629e,
personal-finance-dss,personal-finance-dss/knowledge/guides/software_lifecycle_standard.md,196,16730,3,317,REGISTRY=1;RULE=13;STRUCT=3,yes,,e8519cd37a1d,
personal-finance-dss,personal-finance-dss/docs/roadmap_archive/roadmap_2026_07_02_v5_17_0_pre_reorder.md,577,57510,3,317,META=2;REGISTRY=7;RULE=8,,,b69e5a6dd32e,
mission-control,mission-control/reports/tasks-completed-log.md,488,45749,3,317,META=1;REGISTRY=7;RULE=9,,,fbfe18fae6c6,
misc-vault,misc-vault/04-data/obsidian/Architecture/FINPILOT_Guidelines_naming_versions_and_tests.md,181,16684,3,317,REGISTRY=1;RULE=13;STRUCT=3,,02-methodology-library/software_lifecycle_standard.md,734c93236f6d,
portrait-of-taste,portrait-of-taste/02-methodology-library/software_lifecycle_standard.md,196,16730,3,317,REGISTRY=1;RULE=13;STRUCT=3,yes,,e8519cd37a1d,
exam-kit,exam-kit/docs/DELIVERY_LOG.md,69,9473,3,317,REGISTRY=12;RULE=4;STRUCT=1,,,2098ab691b40,
personal-finance-dss,personal-finance-dss/docs/model/model_history.md,195,19867,3,316,REGISTRY=12;RETRO=2;RULE=2,,,83f8eb7ad84e,
portrait-of-taste,portrait-of-taste/reports/situations/2026-08-15-photo-recognition-false-marriage-G.md,144,17857,3,316,REGISTRY=8;RULE=5;STRUCT=3,,,3d886c973d23,
it-base,it-base/CHANGELOG.md,463,34603,3,315,REGISTRY=6;RULE=8;STRUCT=1,,,62ecfc021c0c,
personal-finance-dss,personal-finance-dss/docs/model/model_testing_standard.md,231,20233,3,315,REGISTRY=1;RULE=13;STRUCT=1,,,1d5ccc0a55c3,
personal-finance-dss,personal-finance-dss/docs/model/expert_certification/CROSS_ITERATION_REVIEW.md,272,26166,3,314,META=1;REGISTRY=2;RULE=11,,,fb3695fa3548,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/notes-09.md,391,37428,3,314,REGISTRY=7;RULE=4;STRUCT=3,,,dc3111094933,
mission-control,mission-control/reports/pitfalls-append-2026-08-16.md,149,11032,3,314,REGISTRY=5;RULE=1;STRUCT=8,,,c9c388be9133,
misc-vault,misc-vault/01-documents/notes/Заметки по всем файлам №9.md,391,37428,3,314,REGISTRY=7;RULE=4;STRUCT=3,,,dc3111094933,
portrait-of-taste,portrait-of-taste/standards/DEPLOY_COMPATIBILITY.md,111,4569,3,314,REGISTRY=3;RULE=9;STRUCT=2,,,7b36fe1c4e4c,
self-map,self-map/_knowledge-kit/registry/facts-and-hypotheses.md,1494,242887,3,314,RETRO=5;RULE=1;STRUCT=8,,,d14bac7a13c0,
self-map,self-map/10-life-history/01-registry/facts-and-hypotheses.md,1494,242887,3,314,RETRO=5;RULE=1;STRUCT=8,,,d14bac7a13c0,
truth-seeking,truth-seeking/CHANGELOG.md,145,10510,3,313,REGISTRY=3;RULE=9;STRUCT=1,,,7c966abb49d2,
personal-finance-dss,personal-finance-dss/knowledge/guides/writing_guides_methodology.md,301,28150,3,313,META=1;RULE=10;STRUCT=2,,,7401a36e8036,
personal-finance-dss,personal-finance-dss/docs/reports/engineering/task_pretooluse_guard_relative_paths.md,193,11365,3,313,META=2;REGISTRY=6;RULE=5,,,1095e4268efc,
character-a-analysis,character-a-analysis/10-life-history/02-notes/psychologist-sessions.md,809,133072,3,313,RETRO=2;RULE=8;STRUCT=3,,,83ef86fa71d7,
character-a-analysis,character-a-analysis/context-lab/06-history/case-instagram-session-4.md,73,8151,3,313,META=1;RULE=4;STRUCT=8,,,0beb5906b89c,
health-vault,health-vault/04-psychiatry-pnd/lechenie/psikhiatricheskie-preparaty.md,511,74118,3,313,RETRO=1;RULE=11;STRUCT=1,,,25c38115c2f8,
portrait-of-taste,portrait-of-taste/reports/PORTRAIT_MODELS.md,2377,222297,3,313,META=1;RULE=8;STRUCT=4,,,efe91da72417,
self-map,self-map/10-life-history/02-notes/psychologist-sessions.md,809,133072,3,313,RETRO=2;RULE=8;STRUCT=3,,,83ef86fa71d7,
self-map,self-map/10-life-history/03-reports/case-instagram-session-4.md,73,8151,3,313,META=1;RULE=4;STRUCT=8,,,0beb5906b89c,
family,family/CHANGELOG.md,235,18619,3,312,REGISTRY=4;RULE=6;STRUCT=2,,,8802578d28df,
academic-portfolio,academic-portfolio/CHANGELOG.md,391,32644,3,312,REGISTRY=4;RULE=6;STRUCT=2,,,8de8b0f3e885,
misc-vault,misc-vault/CHANGELOG.md,278,21499,3,312,REGISTRY=5;RULE=6;STRUCT=1,,,edd1d15e3839,
mission-control,mission-control/BACKLOG.md,281,31776,3,312,REGISTRY=8;RULE=3;STRUCT=1,,,01818333cb4e,
character-a-analysis,character-a-analysis/10-life-history/09-history/metodika-analiza.md,135,10313,3,312,REGISTRY=10;RULE=1;STRUCT=1,,,305f00476bc1,
character-a-analysis,character-a-analysis/context-lab/06-history/harvest/iteration-02.md,362,39287,3,312,META=1;RULE=5;STRUCT=6,,,d4618190bac3,
misc-vault,misc-vault/01-documents/notes/Итерация №2.md,362,39287,3,312,META=1;RULE=5;STRUCT=6,,,d4618190bac3,
