время	процесс	вниз_Б	вверх_Б	дубли	не_в_срок	повторы
06:48:23	steam_osx	412649	87942	6132	0	4993
06:48:23	dota2	40469833	6038403	0	0	0
06:48:23	Tunnel	14240744	66276800	17225	7624	1153338
06:48:33	steam_osx	412849	87996	6132	0	4993
06:48:33	dota2	40807524	6087936	0	0	0
06:48:33	Tunnel	14604265	66612744	17225	7624	1153338
06:48:43	steam_osx	412849	88155	6132	0	4993
06:48:43	dota2	41159483	6144083	0	0	0
06:48:43	Tunnel	14985470	66983304	17225	7624	1153338
06:48:53	steam_osx	412849	88155	6132	0	4993
06:48:53	dota2	41514163	6199601	0	0	0
06:48:53	Tunnel	15374135	67065279	17225	7624	1153338
06:49:03	steam_osx	413620	88155	6132	0	4993
06:49:03	dota2	42011901	6265918	0	0	0
06:49:03	Tunnel	15911169	67160880	17225	7624	1154495
06:49:14	steam_osx	413620	88209	6132	0	4993
06:49:14	dota2	42393766	6343427	0	0	0
06:49:14	Tunnel	16320943	67255909	17225	7624	1154495
06:49:24	steam_osx	414469	88209	6132	0	4993
06:49:24	dota2	42822087	6402848	0	0	0
06:49:24	Tunnel	16794710	67710884	17622	7624	1159595
06:49:34	steam_osx	414974	88631	6132	0	4993
06:49:34	dota2	43217520	6461096	0	0	0
06:49:34	Tunnel	17219587	67920719	17622	7624	1159595
06:49:44	steam_osx	415166	88685	6132	0	4993
06:49:44	dota2	43636463	6517915	0	0	0
06:49:44	Tunnel	17669057	68247687	17622	7624	1159595
06:49:54	steam_osx	415366	88685	6132	0	4993
06:49:54	dota2	44017165	6572583	0	0	0
06:49:54	Tunnel	18083786	68365441	17622	7624	1159619
06:50:04	steam_osx	415576	88685	6132	0	4993
06:50:04	dota2	44422375	6660791	0	0	0
06:50:04	Tunnel	18151463	68819769	17591	7555	1159595
06:50:14	steam_osx	415576	88739	6132	0	4993
06:50:14	dota2	44766900	6719151	0	0	0
06:50:14	Tunnel	18524623	69039727	17591	7555	1159595
06:50:24	steam_osx	415765	88739	6132	0	4993
06:50:24	dota2	45202427	6786934	0	0	0
06:50:24	Tunnel	18991339	69118605	17591	7555	1159595
